Timestamp,Block Number,Source,Time
2023-12-22 09:59:45.215,4198393,http,0
2023-12-22 09:59:45.216,4198393,lastBlock,0.0011439323425292969
2023-12-22 09:59:48.489,4198394,websocket,0
2023-12-22 09:59:48.498,4198394,http,0.009508371353149414
2023-12-22 09:59:51.017,4198394,lastBlock,2.5282654762268066
2023-12-22 09:59:54.555,4198395,websocket,0
2023-12-22 09:59:54.628,4198395,http,0.07260322570800781
2023-12-22 09:59:57.036,4198395,lastBlock,2.4808437824249268
2023-12-22 10:00:00.404,4198396,websocket,0
2023-12-22 10:00:00.424,4198396,http,0.020167827606201172
2023-12-22 10:00:03.050,4198396,lastBlock,2.6464922428131104
2023-12-22 10:00:06.197,4198397,websocket,0
2023-12-22 10:00:06.223,4198397,http,0.025890111923217773
2023-12-22 10:00:09.069,4198397,lastBlock,2.8720908164978027
2023-12-22 10:00:16.850,4198398,websocket,0
2023-12-22 10:00:16.940,4198398,http,0.09028029441833496
2023-12-22 10:00:21.096,4198398,lastBlock,4.2459704875946045
2023-12-22 10:00:22.736,4198399,http,0
2023-12-22 10:00:22.751,4198399,websocket,0.0150146484375
2023-12-22 10:00:27.002,4198399,lastBlock,4.266063451766968
2023-12-22 10:00:28.735,4198400,websocket,0
2023-12-22 10:00:28.752,4198400,http,0.016376495361328125
2023-12-22 10:00:33.018,4198400,lastBlock,4.282538652420044
2023-12-22 10:00:34.617,4198401,websocket,0
2023-12-22 10:00:34.658,4198401,http,0.04096674919128418
2023-12-22 10:00:39.035,4198401,lastBlock,4.418067216873169
2023-12-22 10:00:40.651,4198402,websocket,0
2023-12-22 10:00:40.675,4198402,http,0.02440810203552246
2023-12-22 10:00:45.052,4198402,lastBlock,4.4014081954956055
2023-12-22 10:00:51.241,4198403,websocket,0
2023-12-22 10:00:51.280,4198403,http,0.03886127471923828
2023-12-22 10:00:57.088,4198403,lastBlock,5.846774578094482
2023-12-22 10:00:57.127,4198404,websocket,0
2023-12-22 10:00:57.197,4198404,http,0.07032442092895508
2023-12-22 10:01:03.060,4198405,websocket,0
2023-12-22 10:01:03.102,4198405,http,0.0425565242767334
2023-12-22 10:01:03.103,4198404,lastBlock,5.976872444152832
2023-12-22 10:01:09.003,4198406,http,0
2023-12-22 10:01:09.004,4198405,lastBlock,5.944853067398071
2023-12-22 10:01:09.023,4198406,websocket,0.020794391632080078
2023-12-22 10:01:15.017,4198406,lastBlock,6.014141321182251
2023-12-22 10:01:15.037,4198407,websocket,0
2023-12-22 10:01:15.125,4198407,http,0.08792781829833984
2023-12-22 10:01:21.030,4198407,lastBlock,5.992851972579956
2023-12-22 10:01:21.085,4198408,websocket,0
2023-12-22 10:01:21.139,4198408,http,0.05416584014892578
2023-12-22 10:01:27.047,4198408,lastBlock,5.961982488632202
2023-12-22 10:01:31.790,4198409,websocket,0
2023-12-22 10:01:31.857,4198409,http,0.06697320938110352
2023-12-22 10:01:33.061,4198409,lastBlock,1.271000862121582
2023-12-22 10:01:38.135,4198410,websocket,0
2023-12-22 10:01:38.200,4198410,http,0.06477236747741699
2023-12-22 10:01:39.075,4198410,lastBlock,0.939300537109375
2023-12-22 10:01:44.193,4198411,websocket,0
2023-12-22 10:01:44.212,4198411,http,0.01873469352722168
2023-12-22 10:01:45.087,4198411,lastBlock,0.8940494060516357
2023-12-22 10:01:50.113,4198412,http,0
2023-12-22 10:01:50.132,4198412,websocket,0.018495559692382812
2023-12-22 10:01:51.098,4198412,lastBlock,0.984745979309082
2023-12-22 10:01:55.985,4198413,websocket,0
2023-12-22 10:01:56.016,4198413,http,0.031186819076538086
