DATE,HEURE,TYPE_OPP,TX_STATUS,TX_HASH,ORDER_ID,BLOCK_DETECTED,BLOCK_REAL,BLOCK_DETECTED_2,BLOCK_REAL_2,ASSET_IN_THOR,ASSET_OUT_THOR,AMOUNT_IN_THOR,AMOUNT_OUT_ESTIMATED_THOR,AMOUNT_OUT_REAL_THOR,ASSET_IN_BYBIT,ASSET_OUT_BYBIT,AMOUNT_IN_ESTIMATED_BYBIT,AMOUNT_IN_REAL_BYBIT,AMOUNT_OUT_ESTIMATED_BYBIT,AMOUNT_OUT_REAL_BYBIT,GAIN_NET_ASSET_IN_ESTIMATED,GAIN_NET_ASSET_IN_REAL,GAIN_NET_ASSET_OUT_ESTIMATED,GAIN_NET_ASSET_OUT_REAL,GAIN_TOTAL_ESTIMATED,GAIN_TOTAL_REAL
2023-12-16,22:23:28,CEXDEXMAYA,REVERTED,"""D2377B4D4FB95A9EEB38B9A3B3B57EEA6A5103930C7AB4D12B8B1438265CB1EB""",,4127197,4127199,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,ETH,1233.5016696,0.55652514,1233.357069,ETH,USDC,0.55653,0,1242.7202288,0,9.2185592,0,-4.86e-06,0,9.208,-0.509
2023-12-16,22:23:34,MAYATHOR,REVERTED,"""DF9F9DA98D2D3674CE65A37290A95D1F3C2BF5E7F3999432E9372F9E17190011""",,4127198,4127200,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,RUNE,818.88165399,146.14576208,818.6719323,RUNE,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,146.14576207,146.14576207,821.82825967,-0.11251435,2.94660568,0,1e-08,0,2.947,-0.21
2023-12-16,22:24:30,MAYATHOR,OK,"""C8FD804E033B1BB19EE785A74314D9C0D80D8B24B9A06B6D8E47326AA1FD20E3""","""32376CEA2C2BD354F115616F202BD7FEEA869544D77339B6AF3EE14CA68960F7""",4127207,4127208,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,ETH,426.08986966,0.19077362,0.19077362,ETH,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,0.19077362,0.19077362,426.72843629,426.38171683,0.63856663,0.29184717,0.0,0.0,0.638,0.291
2023-12-16,23:00:52,CEXDEXMAYA,OK,"""0C20761E913671A9B4891314BA78D88DBE1345E65F5E3F7FA54ADDFB508B2A70""",1577323794929025792,4127539,4127541,ETH,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,0.27102767,606.30668424,605.32685597,USDC,ETH,606.30668,606.2935587,0.27203933,0.27227,0.00101166,0.00124233,4.24e-06,-0.96670273,2.254,1.801
2023-12-16,23:01:16,MAYATHOR,OK,"""5B187DFA85E6D74EA9E3ED0EB702B519A7D4ECE11DADF858E4130D53499809DD""","""BF1E957D3E2830D90CC28CD87F61C40C250887664127C6D763E83B19419386C3""",4127540,4127542,ETH,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,0.22721155,508.52104165,506.72715372,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH,508.52104165,508.52104165,0.22811969,0.22811234,0.00090814,0.00090079,0.0,-1.79388793,2.023,0.213
2023-12-16,23:01:16,MAYATHOR,OK,"""4D6E7C6D9B6431B0A7E493280C730D495BFECB4AAEE055F97FAB7AA922068278""","""58DF8F8B017138579DA81906D20CC1FB2133B8266D41C6C33EE39EC33718CB76""",4127541,4127543,ETH,RUNE,0.22948359,91.23755279,91.2235606,RUNE,ETH,91.23755278,91.23755278,0.2305554,0.23030801,0.00107181,0.00082442,1e-08,-0.01399218,2.388,1.758
2023-12-17,01:56:08,MAYATHOR,OK,"""E1581072ABFC73F7BC1C8A71CB51E5F296C8BAE9407E824F05D60D658B8C9B26""","""65474D00C421087A360681FE4F2C93F8D5B5ED48F176F5688FD01AFE1FD49995""",4129146,4129147,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,RUNE,473.95886454,84.97603184,84.97603183,RUNE,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,84.97603183,84.97603183,474.63734387,474.62137258,0.67847933,0.66250804,1e-08,0.0,0.677,0.661
2023-12-17,12:14:01,MAYATHOR,OK,"""9FDA916BECC370510D9917EFAE22468263093A711DFE4DD74DB6CD02119845CA""","""772C989878532584C966BA933DFE30DB2AA45FEB75BA150B306D2653E6A833C5""",4134805,4134806,RUNE,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,66.01910733,371.98499743,371.98499694,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,RUNE,371.98499742,371.98499742,66.12448386,66.073043,0.10537653,0.05393567,1e-08,-4.8e-07,0.592,0.303
2023-12-17,13:17:35,MAYATHOR,OK,"""35795AAD46CD02C8E4FAC0B3A13F39C8006E04782DBF731A02B5E7F05C8564CE""","""C05DDC00F73BEC9A883548EFCD16B45F0F484A8CE9BCF1EB2693B16F4ECEA92E""",4135385,4135386,RUNE,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,55.34601831,311.22537598,311.22537583,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,RUNE,311.22537597,311.22537597,55.445506,55.445506,0.09948769,0.09948769,1e-08,-1.4e-07,0.558,0.558
2023-12-17,13:25:09,MAYATHOR,OK,"""F2063BF40FD9C69ACB53ED32C92CC6EDC718764EE5579E51504C34067D4F3338""","""97CCE8748865B505ADD1708114C32C592D4B856C7B1FD8FB83030A36B864CC3F""",4135455,4135456,RUNE,USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,55.89947841,314.12622094,314.12622035,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,RUNE,314.12622094,314.12622094,55.99309226,55.998338,0.09361385,0.09885959,0.0,-5.9e-07,0.525,0.554
